Signal,Mean IC,IC Std,ICIR,t-stat,p-value,% Pos IC,N days,Horizon,Bonferroni_reject,BH_reject,BH_p_adjusted
mom_12m,0.0189,0.2984,0.063,3.02,0.0026,53.0,2270,fwd_1d,True,True,0.0039
mom_12m,0.0225,0.294,0.077,3.7,0.0002,54.3,2334,fwd_5d,True,True,0.0003
mom_12m,0.0204,0.2704,0.075,3.628,0.0003,53.8,2318,fwd_21d,True,True,0.0004
mom_6m,0.0176,0.2773,0.063,3.096,0.002,53.5,2393,fwd_1d,True,True,0.0034
mom_6m,0.0201,0.2697,0.074,3.692,0.0002,53.5,2460,fwd_5d,True,True,0.0003
mom_6m,0.0223,0.2522,0.089,4.375,0.0,55.3,2444,fwd_21d,True,True,0.0
rev_1m,-0.1838,0.2444,-0.752,-37.583,0.0,21.7,2496,fwd_1d,True,True,0.0
rev_1m,-0.0874,0.2379,-0.367,-18.598,0.0,33.8,2565,fwd_5d,True,True,0.0
rev_1m,-0.0379,0.2259,-0.168,-8.476,0.0,42.4,2549,fwd_21d,True,True,0.0
near_52w_high,0.1648,0.2774,0.594,28.319,0.0,73.7,2271,fwd_1d,True,True,0.0
near_52w_high,0.0738,0.2761,0.267,12.906,0.0,62.4,2335,fwd_5d,True,True,0.0
near_52w_high,0.0227,0.2701,0.084,4.039,0.0001,57.3,2319,fwd_21d,True,True,0.0001
vol_21d,0.0028,0.2789,0.01,0.493,0.6221,49.4,2496,fwd_1d,False,False,0.6787
vol_21d,-0.0134,0.2547,-0.053,-2.66,0.0079,48.3,2565,fwd_5d,False,True,0.0119
vol_21d,-0.037,0.2374,-0.156,-7.865,0.0,44.5,2549,fwd_21d,True,True,0.0
vol_ratio,0.0041,0.2731,0.015,0.744,0.4571,50.4,2458,fwd_1d,False,False,0.6095
vol_ratio,0.0038,0.1976,0.019,0.955,0.3397,50.7,2526,fwd_5d,False,False,0.3706
vol_ratio,0.0043,0.1708,0.025,1.26,0.2078,50.8,2510,fwd_21d,False,False,0.2078
down_vol,0.0224,0.2657,0.084,4.183,0.0,53.6,2455,fwd_1d,True,True,0.0
down_vol,-0.0006,0.2559,-0.002,-0.116,0.908,50.0,2523,fwd_5d,False,False,0.908
down_vol,-0.0304,0.2407,-0.126,-6.322,0.0,46.1,2507,fwd_21d,True,True,0.0
zscore_20d,-0.3886,0.2144,-1.813,-90.59,0.0,5.2,2498,fwd_1d,True,True,0.0
zscore_20d,-0.1741,0.2184,-0.797,-40.388,0.0,20.1,2567,fwd_5d,True,True,0.0
zscore_20d,-0.0805,0.2097,-0.384,-19.395,0.0,34.0,2551,fwd_21d,True,True,0.0
rsi_14d,-0.2238,0.2256,-0.992,-49.642,0.0,15.6,2503,fwd_1d,True,True,0.0
rsi_14d,-0.1081,0.2234,-0.484,-24.553,0.0,29.6,2572,fwd_5d,True,True,0.0
rsi_14d,-0.0492,0.212,-0.232,-11.742,0.0,39.7,2556,fwd_21d,True,True,0.0
price_ma,0.1127,0.2843,0.396,19.105,0.0,67.3,2322,fwd_1d,True,True,0.0
price_ma,0.0638,0.2801,0.228,11.122,0.0,60.8,2387,fwd_5d,True,True,0.0
price_ma,0.0498,0.2675,0.186,9.07,0.0,61.8,2371,fwd_21d,True,True,0.0
vol_surge,-0.001,0.1494,-0.007,-0.324,0.7462,49.7,2459,fwd_1d,False,False,0.7462
vol_surge,-0.0056,0.1471,-0.038,-1.911,0.0562,49.5,2527,fwd_5d,False,False,0.0749
vol_surge,-0.0108,0.1404,-0.077,-3.872,0.0001,46.1,2511,fwd_21d,True,True,0.0001
illiquidity,0.0018,0.1436,0.012,0.62,0.5355,50.1,2496,fwd_1d,False,False,0.6426
illiquidity,-0.0042,0.1413,-0.029,-1.49,0.1362,48.0,2565,fwd_5d,False,False,0.1634
illiquidity,-0.0094,0.1344,-0.07,-3.543,0.0004,44.8,2549,fwd_21d,True,True,0.0004
